Date,Product_ID,Quantity,Revenue
2022-04-13,4,9,85.09284487675127
2022-12-15,4,7,93.56349942209475
2022-09-28,4,1,78.53406511139436
2022-04-17,3,1,66.89882547142287
2022-03-13,3,9,58.06866214364547
2022-07-08,3,9,37.22827665617431
2022-01-21,1,4,94.01334424577784
2022-04-13,4,9,97.36638367553174
2022-05-02,3,3,28.39209747374657
2022-08-03,3,7,30.536386034439346
2022-11-27,1,6,48.56137535862266
2022-03-29,3,8,44.84241429862473
2022-04-10,1,9,99.44574626108206
2022-12-26,2,5,17.592525267734537
2022-06-01,3,1,1.8075363615520867
2022-05-11,2,3,49.38937151834346
2022-05-30,1,8,17.882270922132882
2022-11-05,4,6,36.64687845828599
2022-09-15,3,8,74.41705230565623
2022-12-10,1,9,72.09399242521293
2022-10-21,4,4,30.80607918523892
2022-07-11,4,1,54.25402305548993
2022-10-04,2,1,50.881407683876
2022-06-10,1,4,63.63326181858954
2022-11-10,4,7,25.046181860558413
2022-01-22,3,2,58.98708475605439
2022-09-10,3,3,97.8892858275009
2022-08-24,2,1,48.67421529594551
2022-12-11,4,5,90.6098787718554
2022-02-18,1,1,43.43943655104287
2022-02-28,3,8,35.00784076946757
2022-06-19,4,1,64.51033620305648
2022-07-07,4,1,66.89240596630997
2022-09-28,2,2,86.4167565071903
2022-07-09,3,2,23.01852682415553
2022-06-24,3,6,49.919337988475235
2022-02-20,1,7,57.20041992091831
2022-12-30,3,5,76.8554014306309
2022-02-24,1,1,4.360377175443375
2022-09-01,3,1,99.4550510797341
2022-11-16,2,3,46.994451399094295
2022-05-11,3,2,27.95603417967586
2022-11-03,1,5,88.3494022266259
2022-05-15,1,6,74.77187738974139
2022-01-21,2,7,95.30718470239532
2022-11-25,3,4,33.07503046705137
2022-06-16,3,7,55.27649668354899
2022-10-01,2,8,57.229246917083834
2022-03-30,3,1,98.03315837160457
2022-11-12,3,6,7.534625600612821
2022-01-14,1,8,30.569701928718185
2022-08-30,3,5,19.091103115034603
2022-09-22,3,4,26.84748568901568
2022-12-12,2,2,48.52798742763157
2022-02-22,2,6,37.26868670940493
2022-12-06,4,6,39.46914668094722
2022-04-02,1,1,84.42131407263113
2022-09-21,3,9,93.00168348108319
2022-02-04,3,6,7.04161308495439
2022-07-25,4,3,20.891871761536017
2022-03-22,3,4,67.11435168240506
2022-02-19,1,4,35.86467812961639
2022-12-26,4,3,25.416364906973875
2022-01-02,1,3,29.529058841893875
2022-02-23,4,3,32.255076423860054
2022-04-16,4,4,84.86697949246744
2022-09-17,2,7,13.662133144202881
2022-11-06,1,4,70.89109969101186
2022-07-10,3,9,55.281997690790774
2022-08-06,3,1,29.651014364779847
2022-02-13,1,8,41.97808564462765
2022-06-11,3,7,25.620694359445807
2022-07-21,3,2,61.15137108656805
2022-09-27,1,8,8.159418040024036
2022-12-17,4,1,0.5184862773986776
2022-10-31,1,9,62.78944149486361
2022-09-28,4,9,19.427395351204225
2022-08-03,3,2,7.094091699992767
2022-09-09,3,7,39.678382721388836
2022-07-09,3,3,5.076853103939694
2022-10-23,2,7,88.66171489506598
2022-08-01,4,9,2.7616771873704704
2022-07-27,2,4,57.88648955075587
2022-08-25,2,1,43.847412301808696
2022-12-04,1,2,67.20261352951994
2022-02-22,2,1,32.815266747473196
2022-10-07,1,5,15.50416167277442
2022-08-05,1,5,98.1840888310531
2022-09-09,2,7,83.89335020693633
2022-07-07,4,9,86.04046183116752
2022-02-10,4,9,25.025136051586404
2022-06-06,4,3,3.88347344294232
2022-01-15,4,3,30.326551467322282
2022-10-28,4,3,53.70824271966554
2022-03-06,2,4,32.665124179604085
2022-12-11,2,8,82.78690037875887
2022-11-23,3,6,27.15429158197419
2022-01-09,4,8,96.52518303907698
2022-12-10,2,1,45.72651616137286
2022-05-09,3,8,84.20230750119813
